Source:,C:\Users\julia\Desktop\Capstone\PCM5242\PCM5242.kicad_sch,,,,,,,,,,,,,
Date:,3/14/2023 17:23,,,,,,,,,,,,,
Tool:,Eeschema (6.0.10),,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,
Component Count:,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Arrow Part Number,Arrow Price/Stock,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
,,Y1,ASE-24.000MHZ-ET,custom_lib:ASE-24.000MHZ-ET,custom_lib:ASE24000MHZET,https://abracon.com/Oscillators/ASEseries.pdf,ASE-24.000MHZ-ET,https://www.arrow.com/en/products/ase-24.000mhz-et/abracon,"ABRACON - ASE-24.000MHZ-ET - Oscillator, 24 MHz, 100 ppm, SMD, 3.2mm x 2.5mm, LVCMOS, 3.3 V, ASE Series",1.2,ABRACON,ASE-24.000MHZ-ET,815-ASE24.000MHZET,https://www.mouser.co.uk/ProductDetail/ABRACON/ASE-24000MHZ-ET?qs=uDmhV2jwPRdw4GrVOJ4VTQ%3D%3D
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Arrow Part Number,Arrow Price/Stock,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
1,3,"C1, C6, C7",2.2uF,Device:C,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~,,,,,,,,
2,4,"C2, C9, C16, C18",10uF,Device:C,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~,,,,,,,,
3,5,"C4, C5, C10, C13, C14",0.1uF,Device:C,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~,,,,,,,,
4,3,"C8, C15, C17",1uF,Device:C,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~,,,,,,,,
5,2,"C11, C12",1000pF,Device:C,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~,,,,,,,,
6,1,C19,.01uF,Device:C,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~,,,,,,,,
7,2,"IC1, IC2",NCP163ASN330T1G,custom_lib:NCP163ASN330T1G,custom_lib:SOT95P280X145-5N,https://componentsearchengine.com/Datasheets/2/NCP163ASN330T1G.pdf,NCP163ASN330T1G,https://www.arrow.com/en/products/ncp163asn330t1g/on-semiconductor?region=nac,"ON SEMICONDUCTOR - NCP163ASN330T1G - Fixed LDO Voltage Regulator, 2.2V to 5.5V, 105mV drop, 3.3V/250mA out, SOT-23-5",1.45,onsemi,NCP163ASN330T1G,863-NCP163ASN330T1G,https://www.mouser.co.uk/ProductDetail/onsemi/NCP163ASN330T1G?qs=vLWxofP3U2ykJIQb1%252BPKcA%3D%3D
8,1,J1,Conn_01x04_Male,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,,
9,1,J2,Conn_01x12_Male,Connector:Conn_01x12_Male,Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical,~,,,,,,,,
10,1,J3,d,Connector:Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,,,,,,
11,8,"R2, R3, R4, R5, R6, R7, R8, R9",402,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,
12,2,"R10, R11",806,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,
13,1,U1,PCM5242,custom_lib:PCM5242,custom_lib:PCM5242RHBT,,,,,,,,,
14,1,Y1,ASE-24.000MHZ-ET,custom_lib:ASE-24.000MHZ-ET,custom_lib:ASE24000MHZET,https://abracon.com/Oscillators/ASEseries.pdf,ASE-24.000MHZ-ET,https://www.arrow.com/en/products/ase-24.000mhz-et/abracon,"ABRACON - ASE-24.000MHZ-ET - Oscillator, 24 MHz, 100 ppm, SMD, 3.2mm x 2.5mm, LVCMOS, 3.3 V, ASE Series",1.2,ABRACON,ASE-24.000MHZ-ET,815-ASE24.000MHZET,https://www.mouser.co.uk/ProductDetail/ABRACON/ASE-24000MHZ-ET?qs=uDmhV2jwPRdw4GrVOJ4VTQ%3D%3D
,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,
